Price,Close,High,Low,Open,Volume,RSI,SMA20
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2025-02-01,1264.5999755859375,1270.550048828125,1241.0,1265.0999755859375,7118453,,
2025-02-03,1245.9000244140625,1256.0,1237.550048828125,1251.0,9252345,,
2025-02-04,1285.199951171875,1288.800048828125,1246.5999755859375,1248.050048828125,16691069,,
2025-02-05,1278.199951171875,1290.5,1276.699951171875,1282.6500244140625,10112028,,
2025-02-06,1281.550048828125,1288.0,1270.3499755859375,1273.699951171875,9956001,,
2025-02-07,1266.699951171875,1283.699951171875,1262.0,1276.1500244140625,8764283,,
2025-02-10,1253.6500244140625,1266.5,1245.550048828125,1264.5,6970972,,
2025-02-11,1234.8499755859375,1264.550048828125,1230.0999755859375,1264.550048828125,8859714,,
2025-02-12,1216.550048828125,1226.9000244140625,1193.3499755859375,1219.449951171875,21131654,,
2025-02-13,1216.0999755859375,1228.0,1212.0,1217.050048828125,8511216,,
2025-02-14,1217.25,1224.0,1205.449951171875,1219.0,10298145,,
2025-02-17,1224.9000244140625,1227.5,1204.5,1211.0999755859375,8166683,,
2025-02-18,1225.4000244140625,1229.9000244140625,1216.0999755859375,1224.8499755859375,6673250,,
2025-02-19,1227.449951171875,1232.75,1217.550048828125,1219.5,6217338,37.20288730090517,
2025-02-20,1233.0,1239.3499755859375,1222.0,1223.949951171875,7795582,39.515607090928974,
2025-02-21,1228.1500244140625,1240.0,1222.1500244140625,1228.699951171875,6904025,43.514801851078786,
2025-02-24,1214.550048828125,1223.25,1210.5,1216.550048828125,7172498,18.218709296221377,
2025-02-25,1204.0,1221.0,1201.5,1211.0,11552182,17.65482788860224,
2025-02-27,1207.0999755859375,1215.0,1200.6500244140625,1212.800048828125,11509215,17.474868677172495,
2025-02-28,1200.0999755859375,1217.3499755859375,1193.300048828125,1202.0,23007298,18.761730375704104,1236.2599975585938
2025-03-03,1171.25,1206.449951171875,1156.0,1204.0,17944938,16.33986602187491,1231.5924987792969
2025-03-04,1161.9000244140625,1174.0,1159.550048828125,1162.199951171875,11377373,17.70695763255901,1227.3924987792968
2025-03-05,1175.5999755859375,1183.0,1157.0,1161.0,8664095,31.102869188139294,1221.9125
2025-03-06,1209.5999755859375,1213.949951171875,1185.1500244140625,1197.0,14468014,47.709653110171324,1218.4825012207032
2025-03-07,1249.800048828125,1254.800048828125,1212.0,1216.0,16474965,58.99421321125624,1216.895001220703
2025-03-10,1238.4000244140625,1258.0,1235.4000244140625,1245.0,11931051,53.654575952604716,1215.4800048828124
2025-03-11,1247.300048828125,1249.5,1229.75,1240.0,10089838,55.67064401422363,1215.1625061035156
2025-03-12,1257.050048828125,1263.0,1244.0,1258.0,11977555,57.370540452802935,1216.272509765625
2025-03-13,1247.9000244140625,1264.1500244140625,1243.8499755859375,1260.050048828125,9505270,53.64481962680172,1217.8400085449218
2025-03-17,1238.8499755859375,1257.4000244140625,1233.0999755859375,1242.1500244140625,16640917,52.56470425759515,1218.9775085449219
2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,0,56.23074655026383,1220.0575073242187
2025-03-19,1247.1500244140625,1253.25,1238.800048828125,1241.050048828125,16162399,61.19325475662267,1221.1700073242187
2025-03-20,1269.1500244140625,1273.0,1250.050048828125,1251.8499755859375,15971477,64.65863592792405,1223.3575073242187
2025-03-21,1276.3499755859375,1281.0,1270.0999755859375,1275.0,21780769,67.99621544751987,1225.802508544922
2025-03-24,1302.0999755859375,1306.0,1284.25,1291.0,20299319,81.34129319020562,1229.2575073242188
2025-03-25,1285.449951171875,1307.699951171875,1282.5999755859375,1307.699951171875,13713899,78.59287873831208,1232.1225036621095
2025-03-26,1273.050048828125,1293.800048828125,1268.75,1291.0,12074747,72.68917761319848,1235.0475036621094
2025-03-27,1278.199951171875,1285.0,1271.300048828125,1278.1500244140625,15028056,68.45077099966971,1238.757501220703
2025-03-28,1275.0999755859375,1295.75,1269.0,1280.0,18147129,58.50132365958446,1242.1575012207031
2025-04-01,1252.5999755859375,1277.9000244140625,1249.300048828125,1264.5999755859375,12099648,54.44026261546683,1244.7825012207031
2025-04-02,1251.1500244140625,1255.550048828125,1243.9000244140625,1247.550048828125,10142590,51.26270249321586,1248.7775024414063
2025-04-03,1248.699951171875,1251.800048828125,1233.050048828125,1233.050048828125,7434366,47.12362959898004,1253.117498779297
2025-04-04,1204.699951171875,1245.449951171875,1193.1500244140625,1241.0999755859375,17908652,37.99997151690776,1254.5724975585938
2025-04-07,1165.699951171875,1171.25,1114.8499755859375,1132.199951171875,22156106,32.579165525617924,1252.3774963378905
2025-04-08,1182.199951171875,1196.5999755859375,1163.300048828125,1172.0,19555040,37.49170519606464,1248.997491455078
2025-04-09,1185.3499755859375,1189.800048828125,1168.0,1169.5,10223104,36.03703041776436,1246.344989013672
2025-04-11,1218.949951171875,1222.6500244140625,1195.1500244140625,1195.1500244140625,11224242,39.222816530086504,1244.9274841308593
2025-04-15,1240.0999755859375,1251.0,1237.0999755859375,1251.0,13378535,42.657479945049786,1244.07998046875
2025-04-16,1239.300048828125,1240.9000244140625,1229.0,1234.0999755859375,8248464,35.849484240041406,1243.6499816894532
2025-04-17,1274.5,1280.199951171875,1227.5999755859375,1240.199951171875,15398401,47.72302671792154,1245.4324829101563
2025-04-21,1295.5,1300.9000244140625,1267.0,1270.0,10429964,54.50712081465884,1248.2649841308594
2025-04-22,1291.199951171875,1303.9000244140625,1286.300048828125,1300.0,13051707,52.618856276687524,1250.46748046875
2025-04-23,1300.0,1306.0,1285.4000244140625,1297.0,10480888,54.90350965336169,1252.0099792480469
2025-04-24,1301.5999755859375,1304.5,1290.300048828125,1292.4000244140625,10468940,60.51502145922747,1253.272479248047
2025-04-25,1300.4000244140625,1325.199951171875,1288.0999755859375,1303.5,14431012,60.580021482277125,1253.187481689453
2025-04-28,1368.800048828125,1374.5999755859375,1320.199951171875,1340.0,31104496,70.10380269314861,1257.3549865722657
2025-04-29,1399.699951171875,1410.9000244140625,1370.0,1371.0,32538970,84.13867297192638,1263.687481689453
2025-04-30,1405.0,1412.4000244140625,1369.0,1402.0,25480745,97.49903564900337,1270.0274841308594
2025-05-02,1419.800048828125,1426.699951171875,1409.0999755859375,1414.0,13007841,97.48204317055011,1277.2624877929688
2025-05-05,1431.300048828125,1439.5,1426.9000244140625,1431.0,12685649,97.5633616157572,1286.197491455078
2025-05-06,1420.9000244140625,1432.0,1410.5999755859375,1431.0,14084117,92.90420526694423,1294.684991455078
2025-05-07,1406.0,1424.4000244140625,1402.699951171875,1420.9000244140625,13440169,86.20690573837095,1302.5499938964845
2025-05-08,1407.0,1420.800048828125,1398.0,1404.0999755859375,16106175,86.5677966552848,1312.6649963378907
2025-05-09,1377.199951171875,1394.800048828125,1374.5,1385.5,13668904,72.93431978148392,1323.2399963378907
2025-05-12,1436.5,1439.0,1400.0,1400.0,10674081,76.8878518248148,1335.9549987792968
2025-05-13,1415.699951171875,1447.699951171875,1412.4000244140625,1433.5,11407896,72.33582934170553,1347.4724975585937
2025-05-14,1424.4000244140625,1429.9000244140625,1415.5,1420.0,5570160,72.3259020642836,1357.7450012207032
2025-05-15,1454.199951171875,1461.4000244140625,1412.699951171875,1425.0,20177211,74.86960407144849,1368.45
2025-05-16,1456.4000244140625,1461.0,1447.300048828125,1453.199951171875,9036695,75.34110648423558,1379.304998779297
2025-05-19,1440.800048828125,1454.5999755859375,1438.199951171875,1452.0999755859375,6195791,64.11763354240048,1387.6200012207032
2025-05-20,1424.5999755859375,1445.0,1421.800048828125,1438.199951171875,11270560,55.18101985175823,1394.075
2025-05-21,1429.199951171875,1436.199951171875,1418.0999755859375,1423.9000244140625,6136364,55.05006607886872,1400.975
2025-05-22,1409.4000244140625,1423.800048828125,1396.9000244140625,1421.199951171875,12134466,47.87407704995346,1406.445001220703
2025-05-23,1426.800048828125,1433.800048828125,1406.5999755859375,1406.5999755859375,6474883,49.10179728258592,1412.7050048828125
2025-05-26,1434.800048828125,1441.0,1425.0999755859375,1432.0,4842944,52.801292241776736,1419.4250061035157
2025-05-27,1422.0999755859375,1437.0,1413.9000244140625,1426.0999755859375,12640414,53.27367995174777,1422.0900024414063
2025-05-28,1412.9000244140625,1422.5999755859375,1410.699951171875,1420.0999755859375,5944611,51.160964051981445,1422.7500061035157
2025-05-29,1417.800048828125,1420.0,1408.5999755859375,1412.0999755859375,13771917,58.85690729907414,1423.3900085449218
2025-05-30,1420.9000244140625,1430.5999755859375,1409.699951171875,1418.0,13788484,45.49133971720633,1423.4450073242188
2025-06-02,1413.699951171875,1417.5,1395.5999755859375,1412.0999755859375,8098668,49.37264800437431,1422.5650024414062
2025-06-03,1405.5,1426.5,1403.4000244140625,1422.300048828125,11252626,44.05285666765767,1421.7950012207032
2025-06-04,1423.5,1425.699951171875,1406.0999755859375,1414.699951171875,8126827,39.564945346394,1422.6700012207032
2025-06-05,1442.4000244140625,1454.699951171875,1423.5999755859375,1428.0,13716817,45.72649700040988,1424.4400024414062
2025-06-06,1443.5,1451.5,1437.0,1441.0,8182161,50.90420304382592,1427.7550048828125
2025-06-09,1448.800048828125,1457.5,1445.300048828125,1457.0,7885125,58.742799484552904,1428.3700073242187
2025-06-10,1438.5,1453.9000244140625,1436.0,1450.0,7913181,53.226940501563796,1429.510009765625
2025-06-11,1448.9000244140625,1468.5999755859375,1443.0999755859375,1445.800048828125,8195700,64.66219106377734,1430.735009765625
2025-06-12,1441.5999755859375,1457.0,1434.4000244140625,1453.5,8828114,55.938964951382594,1430.1050109863281
2025-06-13,1427.9000244140625,1435.5,1414.300048828125,1424.0,9757276,47.35225811045147,1428.6800109863282
2025-06-16,1437.800048828125,1442.4000244140625,1424.4000244140625,1426.9000244140625,8458093,56.15688557283474,1428.530010986328
2025-06-17,1431.199951171875,1448.0,1425.800048828125,1448.0,10366599,57.325815616561265,1428.860009765625
