Stock,Date,Type,Price,RSI
RELIANCE.NS,2025-02-27,Buy,1212.800048828125,24.48
RELIANCE.NS,2025-02-28,Buy,1202.0,20.96
RELIANCE.NS,2025-03-03,Buy,1204.0,24.36
RELIANCE.NS,2025-03-04,Buy,1162.199951171875,17.97
RELIANCE.NS,2025-03-05,Buy,1161.0,24.77
RELIANCE.NS,2025-03-06,Buy,1197.0,43.29
RELIANCE.NS,2025-03-26,Sell,1291.0,80.12
RELIANCE.NS,2025-03-27,Sell,1278.1500244140625,71.06
RELIANCE.NS,2025-03-28,Sell,1280.0,68.23
RELIANCE.NS,2025-04-08,Buy,1172.0,39.0
RELIANCE.NS,2025-05-02,Sell,1414.0,90.88
RELIANCE.NS,2025-05-05,Sell,1431.0,92.11
RELIANCE.NS,2025-05-07,Sell,1420.9000244140625,85.53
RELIANCE.NS,2025-05-08,Sell,1404.0999755859375,85.56
RELIANCE.NS,2025-05-09,Sell,1385.5,78.89
RELIANCE.NS,2025-05-12,Sell,1400.0,77.52
RELIANCE.NS,2025-05-13,Sell,1433.5,77.85
RELIANCE.NS,2025-05-14,Sell,1420.0,74.58
RELIANCE.NS,2025-05-15,Sell,1425.0,76.46
RELIANCE.NS,2025-05-16,Sell,1453.199951171875,77.96
RELIANCE.NS,2025-05-19,Sell,1452.0999755859375,74.13
RELIANCE.NS,2025-05-20,Sell,1438.199951171875,65.61
RELIANCE.NS,2025-07-04,Sell,1524.0,77.48
RELIANCE.NS,2025-07-07,Sell,1526.5999755859375,74.84
RELIANCE.NS,2025-07-08,Sell,1536.0,85.43
RELIANCE.NS,2025-07-09,Sell,1536.699951171875,85.49
RELIANCE.NS,2025-07-10,Sell,1519.699951171875,76.67
RELIANCE.NS,2025-07-11,Sell,1512.0,69.41
RELIANCE.NS,2025-07-23,Buy,1426.0,19.5
RELIANCE.NS,2025-07-24,Buy,1419.199951171875,17.04
RELIANCE.NS,2025-07-25,Buy,1398.9000244140625,13.87
